"time","R0.i","R0.v","R1.i","R1.v"
0,0,0,0,0
0.001,0.0002530548824802926,0.2530548824802926,7.347255875985371e-07,0.07347255875985371
0.002,0.0003469459575548998,0.3469459575548998,2.265270212225501e-06,0.2265270212225501
0.003,0.000382576071356352,0.382576071356352,4.08711964321824e-06,0.408711964321824
0.004,0.000396879318569263,0.396879318569263,6.015603407153685e-06,0.6015603407153686
0.005,0.0004033769471792379,0.4033769471792379,7.983115264103812e-06,0.7983115264103812
0.006,0.0004070171461504241,0.4070171461504242,9.964914269247879e-06,0.9964914269247879
0.007,0.0004096106915364164,0.4096106915364164,1.195194654231792e-05,1.195194654231792
0.008,0.0004118215754916981,0.4118215754916981,1.394089212254151e-05,1.394089212254151
0.009,0.0004138929328780794,0.4138929328780794,1.59305353356096e-05,1.59305353356096
0.01,0.0004159128673773482,0.4159128673773482,1.792043566311326e-05,1.792043566311326
0.011,0.0004179138534889,0.4179138534889,1.99104307325555e-05,1.99104307325555
0.012,0.0004199075206350002,0.4199075206350003,2.1900462396825e-05,2.1900462396825
0.013,0.0004218989248422629,0.4218989248422629,2.389050537578869e-05,2.389050537578869
0.014,0.0004238899097129298,0.4238899097129298,2.588055045143535e-05,2.588055045143535
0.015,0.0004258805371241827,0.4258805371241827,2.787059731437909e-05,2.787059731437909
0.016,0.0004278712108213574,0.4278712108213574,2.986064394589322e-05,2.986064394589321
0.017,0.0004298616058531825,0.4298616058531826,3.185069197073409e-05,3.185069197073409
0.018,0.0004318513197228659,0.4318513197228659,3.384074340138566e-05,3.384074340138567
0.019,0.0004338411684129344,0.4338411684129344,3.583079415793533e-05,3.583079415793533
0.02,0.0004358310449809793,0.4358310449809792,3.782084477509511e-05,3.78208447750951
0.021,0.000437821030870392,0.437821030870392,3.981089484564805e-05,3.981089484564805
0.022,0.000439811016759803,0.4398110167598031,4.180094491620098e-05,4.180094491620098
0.023,0.0004418010082327282,0.4418010082327282,4.379099495883636e-05,4.379099495883636
0.024,0.0004437910496973956,0.4437910496973956,4.578104475151302e-05,4.578104475151302
0.025,0.0004457810911620612,0.4457810911620612,4.77710945441897e-05,4.777109454418969
0.026,0.0004477711326267304,0.4477711326267304,4.976114433686635e-05,4.976114433686635
0.027,0.0004497611740913978,0.4497611740913978,5.175119412954301e-05,5.175119412954301
